,time,value
228,1449224622761.0,1.818
229,1449224622781.0,1.628
230,1449224622802.0,3.055
231,1449224622821.0,2.312
232,1449224622841.0,1.095
233,1449224622868.0,1.647
234,1449224622888.0,1.838
235,1449224622908.0,1.96
236,1449224622928.0,1.979
237,1449224622948.0,2.038
238,1449224622969.0,2.116
239,1449224622988.0,2.155
240,1449224623010.0,2.155
241,1449224623029.0,2.195
242,1449224623049.0,2.136
243,1449224623069.0,1.94
244,1449224623089.0,1.76
245,1449224623109.0,1.681
246,1449224623129.0,1.681
247,1449224623149.0,1.74
248,1449224623169.0,1.818
249,1449224623189.0,1.818
250,1449224623209.0,1.799
251,1449224623229.0,1.838
252,1449224623249.0,1.882
253,1449224623269.0,1.921
254,1449224623289.0,1.921
255,1449224623309.0,1.838
256,1449224623329.0,1.901
257,1449224623349.0,1.979
258,1449224623371.0,2.019
259,1449224623390.0,1.96
260,1449224623409.0,1.818
261,1449224623429.0,1.779
262,1449224623449.0,1.818
263,1449224623469.0,1.799
264,1449224623490.0,2.155
265,1449224623510.0,3.035
266,1449224623529.0,1.134
267,1449224623549.0,1.505
268,1449224623570.0,1.628
269,1449224623590.0,1.857
270,1449224623609.0,1.94
271,1449224623630.0,1.96
272,1449224623649.0,2.019
273,1449224623670.0,2.097
274,1449224623689.0,2.116
275,1449224623710.0,2.116
276,1449224623730.0,2.175
277,1449224623751.0,2.077
278,1449224623771.0,1.838
279,1449224623790.0,1.72
280,1449224623810.0,1.667
281,1449224623830.0,1.667
282,1449224623850.0,1.76
283,1449224623870.0,1.799
284,1449224623890.0,1.818
285,1449224623910.0,1.799
286,1449224623930.0,1.799
287,1449224623950.0,1.857
288,1449224623970.0,1.882
289,1449224623990.0,1.857
290,1449224624016.0,1.882
291,1449224624030.0,1.94
292,1449224624050.0,1.999
293,1449224624070.0,1.999
294,1449224624090.0,1.838
295,1449224624110.0,1.76
296,1449224624131.0,1.779
297,1449224624150.0,1.818
298,1449224624170.0,1.667
299,1449224624190.0,3.685
